Study,Short_name,Origin_of_lines,Experiment_type1,Experiment_type2
"Abbott et al. (2013) PLOS ONE 8, e70493",Abbott et al. (2013),Abbott et al. (2013),Sex-specific X ,Male-limited X chromosomes
"Abbott et al. (2020) J. Evol. Biol. 33, 738–750",Abbott et al. (2020),Abbott et al. (2013),Sex-specific X ,Male-limited X chromosomes
"Abbott et al. (2010) J. Evol. Biol. 23, 1989–1997",Abbott et al. (2010),Prasad et al. (2007),Sex-specific autosome(s),Male-limited haplotypes
"Bedhomme et al. (2008) PLOS ONE 3, e2187",Bedhomme et al. (2008),Prasad et al. (2007),Sex-specific autosome(s),Male-limited haplotypes
"Bedhomme et al. (2011) J. Genetics 90, 443–452",Bedhomme et al. (2011),Prasad et al. (2007),Sex-specific autosome(s),Male-limited haplotypes
Grieshop et al. (2025) Molec. Biol. Evol. 42 msaf099.,Grieshop et al. (2025) ,Grieshop et al. (2025) ,Sex-specific autosome(s),Male-limited autosome
Jiang et al. (2011) Evolution 65: 2448-2460,Jiang et al. (2011),Prasad et al. (2007),Sex-specific autosome(s),Male-limited haplotypes
"Lund-Hansen et al. (2020) Evolution 74, 2703–2713",Lund-Hansen et al. (2020),Lund-Hansen et al. (2020),Sex-specific X ,Female-limited X chromosomes
"Manat et al. (2021) Biol. Lett. 17, 20200915",Manat et al. (2021),Lund-Hansen et al. (2020),Sex-specific X ,Female-limited X chromosomes
"Melo-Gavin et al. (2025) bioRxiv, https://doi.org/10.1101/2025.09.29.678620.",Melo-Gavin et al. (2025),Grieshop et al. (2025) ,Sex-specific autosome(s),Male-limited autosome
"Melo-Gavin et al. (2026) bioRxiv, https://doi.org/10.64898/2026.01.23.701411",Melo-Gavin et al. (2026),Melo-Gavin et al. (2026),Sex-specific autosome(s),Symmetrical sex-limited autosomes
"Morrow et al. (2008) J. Evol. Biol. 21, 1046–1054",Morrow et al. (2008),Morrow et al. (2008),Sex-specific relaxed selection,Relaxed selection in both sexes
"Nordén et al. (2020) Evolution 77, 1066-1076",Nordén et al. (2020) ,Nordén et al. (2020) ,Sex-specific autosome(s),Reciprocal sex-limited markers
"Prasad et al. (2007) Am. Nat. 169, 29-37",Prasad et al. (2007),Prasad et al. (2007),Sex-specific autosome(s),Male-limited haplotypes
"Radwan et al. (2004) J. Evol. Biol. 17, 94–99.",Radwan et al. (2004),Radwan et al. (2004),Sex-specific relaxed selection,Relaxed selection in females
"Rice (1992) Science 256, 1436-1439",Rice (1992),Rice (1992),Sex-specific autosome(s),Female-limited markers
"Rice (1996) Nature 381, 232–234",Rice (1996),Rice (1996),Sex-specific autosome(s),Male-limited haplotypes
"Rice (1998) PNAS, 95, 6217–6221",Rice (1998) ,Rice (1996),Sex-specific autosome(s),Male-limited haplotypes
Thyagarajan et al. (2025) J. Hered. esaf072,Thyagarajan et al. (2025),Thyagarajan et al. (2025),Sex-specific autosome(s),Male-limited haplotypes
